Population,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
Replicate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ID,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
time (in d),0,2,3,4,5,6,7,9,12,16,23,0,2,6,13,0,2,3,4,5,6,7,12,16,23,0,2,3,4,5,6,7,9,12,16,23,0,2,6,13,0,2,3,4,5,6,7,9,12,16,23,0,2,3,4,5,6,7,9,12,16,23,0,2,6,13,0,2,3,4,5,6,7,9,12,16,23
undefined_genus_of_Enterobacteriaceae,2.35E-05,0.86914,0.41501,5.0998,0.42916,0.24018,0.14225,0.46902,0.58179,0.0032515,0.015072,0,0,0,0,1.96E-05,4.6613,4.8786,0.059979,0.14475,0.26443,0.56522,2.6249,4.3223,3.0436,4.59E-05,0.67226,0.49195,0.204,0.50942,0.018577,0.29589,0.44604,0.44034,0.070052,0.0035308,0.001155,0.0011137,0.00086908,0.0016393,0.23325,0.93395,2.3976,0.4716,0.27616,4.9932,1.385,1.6103,3.9838,1.854,4.8842,0.0029315,1.0752,0.39082,0.23833,0.064127,0.070683,0.25992,0.66458,0.59887,0.020215,0.029696,0,0,0,0,0.0002671,0.74503,2.9584,0.038304,0.022066,2.0511,2.0297,2.7389,6.181,2.0599,2.1318
Blautia,0.00086677,4.01E-05,0.0072401,0.0047352,2.3947,2.6006,0.11887,0.10996,0.1645,0.004687,0.016507,0.0065623,0.011831,0.011938,0.007335,5.88E-05,0.00079905,0.0013559,0.00031671,0.0053817,0.018012,0.04421,0.31986,3.5921,2.0311,0.0004514,5.80E-05,0.0013808,1.0803,1.1454,1.2151,0.13789,0.10544,0.3256,0.21501,0.0058109,0.0097317,0.0080431,0.01046,0.042623,0.48316,0.015005,0.00044015,0.011229,0.0090037,0.21532,0.10972,0.35874,2.4779,2.2344,2.8296,0.00019451,0.00022285,8.58E-05,0.21044,0.46772,1.4298,0.13822,0.14549,0.40119,0.07094,0.036517,0.0085261,0.014388,0.016309,0.043974,0.0045457,3.80E-05,0.00011672,0.00033082,0.00081843,0.065322,0.042801,0.045325,1.2856,0.65426,1.6649
Barnesiella,0.092745,0.00016789,0.00012887,0.0023599,0.00085549,0.00068794,0.00010693,0.00012018,0.00018803,7.01E-06,1.63E-05,1.7504,1.9062,1.8324,1.5969,0.0097622,0.0010183,0.001208,2.17E-05,4.13E-05,0.00017071,0.00018846,0.00091923,0.0026339,0.0027007,0.067426,0.00022153,0.0001833,0.00065826,0.0015076,0.00063935,0.00020535,0.00023497,0.00044429,0.00018814,2.28E-05,2.7665,2.0483,1.7458,2.0918,1.7757,0.00025872,0.00041343,9.64E-05,4.63E-05,0.0010204,0.00028451,0.00031706,0.0014679,0.00071871,0.0010268,0.23636,0.00041983,0.00012594,0.0019756,0.00054311,0.0011473,0.00029915,0.0002606,0.00050336,7.23E-05,6.48E-05,2.5396,5.1404,2.4626,1.6281,1.397,0.00013787,0.00042473,1.42E-05,1.89E-05,0.00071497,0.00099094,0.00043309,0.0015478,0.00097491,0.0019386
undefined_genus_of_unclassified_Mollicutes,0.0014446,0.00033688,0.00051716,0.0045446,0.0016475,0.0013248,0.022957,0.11623,0.22487,0.019142,0.044009,0.011483,0.0078875,0.25517,0.0010479,0.00017625,0.0010965,0.0013007,4.87E-05,0.00018558,0.0034491,0.00020292,0.55097,1.1767,4.4138,0.00039497,8.34E-05,0.00019725,0.00024791,0.00056781,0.0002408,0.010386,0.071306,0.014822,0.068227,0.025156,0.0083412,0.024129,0.079495,0.027869,0.091197,0.0012936,0.00068977,0.005088,0.0059741,0.0018562,0.00047469,0.000529,0.002449,0.0011992,0.0017131,0.00036644,0.00039213,0.00015097,0.0023681,0.00065104,0.0013753,0.00035859,0.10503,0.023902,0.1008,0.073035,0.01218,0.0082214,0.24714,0.044974,0.0020202,6.02E-05,0.00018552,9.45E-05,9.44E-05,0.0011877,0.00043289,0.00018927,0.082272,0.00042599,4.6533
undefined_genus_of_Lachnospiraceae,0.21958,0.00011467,8.80E-05,0.0016118,0.00058431,0.00046986,7.30E-05,8.21E-05,0.00012842,4.79E-06,1.11E-05,2.6576,1.2462,1.8921,0.85085,0.0073633,0.001143,0.00074197,0.00012181,0.00018558,0.00010486,0.00011576,0.0010318,0.0016178,0.0016588,0.086895,4.68E-05,3.88E-05,0.00013926,0.000319,0.00013533,4.34E-05,4.97E-05,9.40E-05,3.98E-05,4.82E-06,3.0209,3.9478,2.09,1.7705,0.0096459,7.39E-05,0.00021501,5.01E-05,0.00092559,0.00053042,0.00014789,0.00016493,0.0053403,0.00037397,0.00053438,0.0036644,5.45E-05,2.10E-05,0.00032936,9.06E-05,0.00019117,4.99E-05,4.35E-05,8.39E-05,1.20E-05,1.08E-05,2.4263,3.1981,2.0662,1.9639,1.0672,0.0001498,0.00046148,2.36E-05,9.44E-05,0.00077683,0.0010767,0.00047058,0.0016817,0.0010593,0.0021062
Akkermansia,0.033082,0.00019716,0.051716,0.0094701,0.50642,0.31196,0.28451,0.00014113,0.00022081,8.24E-06,1.91E-05,0,0,0,0,2.94E-05,0.00015848,0.00018786,4.87E-05,4.64E-05,0.00095807,0.00021153,0.00014287,0.0004099,0.00042039,0.00056424,5.99E-05,4.95E-05,0.00017785,1.6581,0.84491,0.36704,6.35E-05,0.00012005,5.08E-05,6.16E-06,0,0,0,0,0.00066397,0.00019589,0.00056945,0.00017545,0.00016829,0.0014055,0.00039188,0.00043672,0.01068,0.00099001,0.0014143,0.00073287,0.00023881,9.19E-05,0.0076064,0.97933,1.9879,0.67456,0.00019025,0.00036747,5.27E-05,4.73E-05,0,0,0,0,0.00034809,0.00015785,0.00048629,0.00085068,0.00053511,0.0011877,0.0011345,0.00049583,0.0017721,0.0011162,0.0032203
Clostridium_difficile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017064,0.0040678,0.023875,0.023706,0.081055,0.031941,0.070163,1.8389,1.7067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000195,0.059412,0.14281,0.04485,0.15406,0.0051755,0.09055,1.3591,2.5874,2.7176,0,0,0,0,0,0,0,0,0,0,0,0.00096746,0.0020553,0.00099644,0.0007938,0,0.00017134,0.0035278,9.45E-05,0.018446,0.19834,0.12017,0.01295,0.24168,3.2082,3.0464
unclassified_Lachnospiraceae,0.032505,7.54E-05,5.79E-05,0.0010598,0.00038419,0.00030906,4.80E-05,5.39E-05,8.44E-05,3.15E-06,7.30E-06,0.65623,0.41541,0.71474,0.66854,0.0035543,0.00029453,0.0054235,2.44E-05,1.19E-05,4.93E-05,5.45E-05,0.00026563,0.00076139,0.00078056,0.020934,0.00014686,0.00012152,0.00043639,0.00099949,0.00042385,0.00013613,0.00015577,0.00029454,0.00012472,1.51E-05,0.5964,0.58849,0.38075,0.53361,0.0003336,9.84E-05,0.00028611,6.68E-05,0.00033658,0.00070619,0.0001969,0.00021943,0.0010159,0.0004975,0.00071076,0.000172,0.00019707,7.59E-05,0.0050708,0.00032718,0.0006912,0.00018021,0.00015699,0.00030323,4.35E-05,3.90E-05,0.68452,0.98656,0.6122,0.36679,0.20051,0.0001032,0.00031789,1.06E-05,1.42E-05,0.00053511,0.00074167,0.00032414,0.0011584,0.00072983,0.0014507
Coprobacillus,0.00014446,0.00025308,0.0018101,1.0891,0.0017166,0.001037,0.00016119,0.00018116,0.00028344,1.06E-05,2.45E-05,0.0082023,0.027606,0.019399,0.0041915,1.96E-05,0.00096095,0.075931,0.003776,0.0020878,0.0019161,0.00017784,0.00086743,0.0024855,0.0025486,0.0002257,0.00011283,9.34E-05,0.0021251,0.00076787,0.00032564,0.00010459,0.00011967,0.00022629,9.58E-05,1.16E-05,0.0097317,0.0093834,0.0041841,0.0016393,0.00049792,0.0001469,0.1301,0.0029826,0.00016829,0.001054,0.00029388,0.0003275,0.0015161,0.00074241,0.014942,4.36E-06,5.00E-06,0.067076,2.145,8.29E-06,1.75E-05,4.57E-06,3.98E-06,7.69E-06,1.10E-06,9.90E-07,0.0085261,0.010277,0.0087817,0.00031107,0.0035356,1.92E-05,0.040217,1.98E-06,0.0025497,0.01544,1.2428,6.02E-05,0.00021523,0.00013607,0.00026972
Enterococcus,3.68E-05,0.0023581,0.0010343,0.15152,0.017166,0.0013804,0.003862,0.00048228,9.63E-05,1.41E-05,3.26E-05,0,0,0,0,2.49E-06,0.00029079,0.0081357,0.0015592,0.0029692,0.013796,0.00084614,0.0072227,0.011825,0.036377,1.98E-05,0.0023839,0.0011835,0.0092087,0.0016224,0.0020641,0.00088395,0.0015171,0.00047812,7.12E-05,4.90E-05,0,0,0,0,6.64E-05,0.0010349,0.0067684,0.014738,0.0033658,0.0018562,3.93E-05,0.010382,0.032042,0.052298,0.041091,0.00073287,0.00083967,0.001778,0.11409,0.00023499,0.00049644,0.00076785,0.00033446,0.00021779,9.27E-05,8.32E-05,0,0,0,0,0.0001156,5.25E-05,0.00635,0.022236,0.0016998,0.023754,0.05597,0.0001648,0.010285,0.011336,0.0096608
Other,0.11138,0.0040425,0.0025858,0.42617,0.090981,0.012423,0.0025747,0.010369,0.0060367,0.0011964,0.0031645,0.97446,1.383,1.725,1.0248,0.011583,0.012573,0.0094916,0.0018271,0.0019022,0.0059399,0.0006346,0.015477,0.076868,0.13036,0.033064,0.00023839,0.0021698,0.078628,0.029203,0.0013761,0.013258,0.0032871,0.0066935,0.0038467,0.00014711,1.931,1.7909,1.3912,1.3836,0.075414,0.0059504,0.0060163,0.0007018,0.0069842,0.10766,2.79E-05,0.0046141,0.22963,0.022227,0.011206,0.76658,0.00041983,0.0011314,0.45132,0.0041822,0.00023896,0.0065268,0.0033446,0.0032302,0.047293,0.00066546,1.8417,2.5651,1.6986,1.3812,0.61869,0.32774,0.25189,0.0027411,0.0065157,0.44776,0.0214,0.015108,0.025712,1.7976,3.7291
Clindamycin signal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0